Gene,Cell,Log2FoldChange_5to70,P_value_5to70,-log10(P_value)_5to70
BCL7-like,ensheathing glial cell,0.8225293,1.0,-0.0
BEAF-32,ensheathing glial cell,-0.07743715,1.0,-0.0
BG642163,ensheathing glial cell,0.0,1.0,-0.0
BG642167,ensheathing glial cell,0.0,1.0,-0.0
BG642312,ensheathing glial cell,0.0,1.0,-0.0
BHD,ensheathing glial cell,0.81218046,1.0,-0.0
BI-1,ensheathing glial cell,-0.833784,1.0,-0.0
BOD1,ensheathing glial cell,-0.23456076,1.0,-0.0
BORCS5,ensheathing glial cell,-1.0391111,1.0,-0.0
BORCS6,ensheathing glial cell,0.6004289,1.0,-0.0
BRWD3,ensheathing glial cell,-0.5441815,1.0,-0.0
BTBD9,ensheathing glial cell,0.7995617,1.0,-0.0
Bacc,ensheathing glial cell,-0.6858714,5.7530251698384e-07,6.240103725905317
Bace,ensheathing glial cell,0.0,1.0,-0.0
Balat,ensheathing glial cell,-0.647412,1.0,-0.0
Baldspot,ensheathing glial cell,-0.46692532,0.03909763219591288,1.4078495432534164
Bap111,ensheathing glial cell,-0.047865327,1.0,-0.0
Bap170,ensheathing glial cell,-0.47685263,1.0,-0.0
Bap55,ensheathing glial cell,1.1531048,1.0,-0.0
Bap60,ensheathing glial cell,-0.6983523,1.0,-0.0
Bdbt,ensheathing glial cell,-1.1645514,1.0,-0.0
Bdp1,ensheathing glial cell,0.092505805,1.0,-0.0
Bem46,ensheathing glial cell,-1.260372,1.0,-0.0
Best1,ensheathing glial cell,0.87252307,1.0,-0.0
